Date,Event,Category,Details
3/21/26,Mini Mission,spiritual,"Held at Franklin Stake center, 16 years and older @ 9AM"
3/25/26,Family History Basics,spiritual,Bring your laptop or tablet best results. Caden to lead.
3/28/26,King Street Cafe Breakfast,social,"Meet at King Street Cafe at 9:00 AM. 390 King Street Franklin, MA 02038"
4/1/26,Digital Retro Games,social,Tournament style retro gaming night.
4/8/26,Make Pottery,intellectual,Wear clothes that can get messy.
4/29/26,Gospel Debate Night,spiritual,Team debates on gospel topics like: Which BofM leader showed greatest faith?
5/6/26,Musical Jam Session,social,Bring your instruments! All skill levels welcome.
5/13/26,Fishing,social,Lake in Franklin…TBD
,Assemble Ikea furniture,intellectual,As a quorum
,Basketball Tournament,physical,Btwn 3 quorums
,Car rocket soccer,social,
,Change Tire / oil,intellectual,
,Chemistry experiment & dry ice bombs,intellectual,
,Chess + boxing,social,
,Dig hole,social,
,Fire & Picnic at the Beach,physical,Point Judith RI on a Friday night (when warmer)
,Learn better photography,intellectual,
,Learn Budgeting & Financial Mgt,intellectual,
,Learn to bake bread,intellectual,
,Martial Arts Class w/ John Cowden,physical,
,Pickleball tournament,physical,
,Priest QM Cook-off + Cultural,social,
,Rock climbing,physical,Joseph to determine details
,Scripture mastery with a big prize,spiritual,
,Scripture Story Renactment,spiritual,Split into teams & assign a story
,See movie,social,
,Service: Bishop's Store House,spiritual,Ideally a combined activity
,Service: Pearl Street Cafe,spiritual,"Soup kitchen, set tables and serve"
,Soccer with Chairs,physical,
,Study & share scripture,spiritual,
,Teacher Prep w YW,spiritual,
,Ultimate frisbee,physical,
